MSOA code,low,mid,high
E02004297,89500 ,101000 ,112500 
E02004290,46000 ,51000 ,63000 
E02004298,#N/A,#N/A,#N/A
E02004299,#N/A,#N/A,#N/A
E02004291,120000 ,120000 ,120000 
E02004300,#N/A,#N/A,#N/A
E02004292,85000 ,85000 ,85000 
E02004301,32500 ,32500 ,32500 
E02004302,25000 ,28000 ,31000 
E02004303,#N/A,#N/A,#N/A
E02004293,#N/A,#N/A,#N/A
E02004304,32625 ,32750 ,32875 
E02004294,40500 ,41000 ,51750 
E02004305,#N/A,#N/A,#N/A
E02004295,#N/A,#N/A,#N/A
E02004320,90750 ,95500 ,100250 
E02004321,#N/A,#N/A,#N/A
E02004322,#N/A,#N/A,#N/A
E02004296,#N/A,#N/A,#N/A
E02004306,#N/A,#N/A,#N/A
E02004323,#N/A,#N/A,#N/A
E02004308,53750 ,57500 ,61250 
E02004309,92250 ,107500 ,115000 
E02004307,50000 ,52500 ,55000 
E02004324,#N/A,#N/A,#N/A
E02004310,#N/A,#N/A,#N/A
E02004311,#N/A,#N/A,#N/A
E02004312,55725 ,76500 ,78225 
E02004313,#N/A,#N/A,#N/A
E02004314,166750 ,179500 ,192250 
E02004316,#N/A,#N/A,#N/A
E02004325,#N/A,#N/A,#N/A
E02004315,91875 ,126250 ,160625 
E02004326,#N/A,#N/A,#N/A
E02004328,#N/A,#N/A,#N/A
E02004327,#N/A,#N/A,#N/A
E02004329,#N/A,#N/A,#N/A
E02004317,#N/A,#N/A,#N/A
E02004330,72000 ,72000 ,72000 
E02004331,42125 ,49250 ,56375 
E02004318,#N/A,#N/A,#N/A
E02004348,57500 ,57500 ,57500 
E02004332,#N/A,#N/A,#N/A
E02004319,#N/A,#N/A,#N/A
E02004349,40500 ,50000 ,50000 
E02004350,28000 ,28000 ,28000 
E02004333,71750 ,88500 ,105250 
E02004334,#N/A,#N/A,#N/A
E02004335,39962 ,39975 ,39987 
E02004336,#N/A,#N/A,#N/A
E02004351,#N/A,#N/A,#N/A
E02004337,35000 ,35000 ,39500 
E02004338,#N/A,#N/A,#N/A
E02004339,#N/A,#N/A,#N/A
E02004352,#N/A,#N/A,#N/A
E02004353,#N/A,#N/A,#N/A
E02004354,38375 ,41750 ,45125 
E02004355,#N/A,#N/A,#N/A
E02004340,#N/A,#N/A,#N/A
E02004341,#N/A,#N/A,#N/A
E02004342,#N/A,#N/A,#N/A
E02004343,#N/A,#N/A,#N/A
E02004344,#N/A,#N/A,#N/A
