MSOA code,low,mid,high
E02004297,170000 ,240000 ,275000 
E02004290,180000 ,219975 ,273500 
E02004298,146000 ,210000 ,370000 
E02004299,136250 ,185625 ,223750 
E02004291,142375 ,170000 ,190750 
E02004300,142500 ,173250 ,213500 
E02004292,173750 ,249250 ,269988 
E02004301,104000 ,147500 ,171000 
E02004302,75000 ,105500 ,167000 
E02004303,126000 ,160000 ,202000 
E02004293,155000 ,245000 ,330000 
E02004304,127000 ,170000 ,230000 
E02004294,201250 ,246000 ,309750 
E02004305,151750 ,185000 ,226250 
E02004295,212000 ,260000 ,315000 
E02004320,151125 ,240000 ,311250 
E02004321,132500 ,150000 ,210000 
E02004322,85500 ,115000 ,181000 
E02004296,143125 ,174500 ,267500 
E02004306,226125 ,274000 ,311250 
E02004323,88500 ,130000 ,180000 
E02004308,183125 ,225000 ,310000 
E02004309,178000 ,206531 ,250000 
E02004307,180000 ,240000 ,398000 
E02004324,137500 ,215000 ,267000 
E02004310,127500 ,193000 ,323750 
E02004311,180000 ,218000 ,315000 
E02004312,146000 ,176500 ,207750 
E02004313,118000 ,124000 ,145000 
E02004314,316250 ,335000 ,348125 
E02004316,114000 ,145000 ,181000 
E02004325,60000 ,79950 ,89250 
E02004315,243750 ,365000 ,464000 
E02004326,87500 ,137500 ,200500 
E02004328,78000 ,95000 ,170000 
E02004327,155000 ,164000 ,170000 
E02004329,171250 ,226500 ,277500 
E02004317,108750 ,163475 ,202000 
E02004330,124375 ,140000 ,152325 
E02004331,136800 ,177500 ,226250 
E02004318,220000 ,344000 ,408750 
E02004348,162000 ,260000 ,325000 
E02004332,147000 ,187000 ,245000 
E02004319,129725 ,160000 ,174250 
E02004349,141250 ,177500 ,190713 
E02004350,129713 ,160500 ,223750 
E02004333,126250 ,179475 ,196000 
E02004334,78500 ,150000 ,170000 
E02004335,152500 ,166000 ,185000 
E02004336,82000 ,115000 ,212000 
E02004351,112500 ,150000 ,180000 
E02004337,146500 ,192000 ,215000 
E02004338,63882 ,127500 ,246250 
E02004339,216875 ,266250 ,323750 
E02004352,120000 ,168500 ,235000 
E02004353,162500 ,180050 ,232500 
E02004354,133000 ,179500 ,216250 
E02004355,111875 ,166250 ,241250 
E02004340,100000 ,130000 ,182500 
E02004341,183500 ,210000 ,249500 
E02004342,#N/A,#N/A,#N/A
E02004343,99855 ,111000 ,122250 
E02004344,140000 ,244950 ,261750 
E02004345,180125 ,218500 ,302500 
E02004346,255250 ,329500 ,412500 
E02004347,223000 ,239000 ,293000 
E02002559,209375 ,246500 ,291500 
E02002560,151500 ,179500 ,202250 
E02002561,193750 ,214000 ,241213 
E02002562,130375 ,158500 ,225000 
E02002563,122000 ,149000 ,257750 
E02002564,146250 ,154975 ,174988 
E02002565,159000 ,176500 ,210000 
E02002566,135000 ,161250 ,181500 
E02002567,127000 ,134000 ,159500 
E02002568,221250 ,290000 ,342500 
E02002569,268000 ,330000 ,380000 
E02002570,132500 ,152500 ,165000 
E02002571,136250 ,146500 ,157000 
E02002572,135000 ,190000 ,240000 
E02002573,210000 ,251000 ,279000 
E02002483,160000 ,188000 ,240000 
E02002484,95000 ,120000 ,140000 
E02002485,68750 ,82500 ,96250 
E02002487,#N/A,#N/A,#N/A
E02002488,160000 ,225000 ,302500 
E02002489,69000 ,99000 ,137000 
E02002490,123000 ,138000 ,181000 
E02002491,98150 ,139000 ,160000 
E02002492,125125 ,141500 ,166875 
E02002493,163250 ,186000 ,218125 
E02002494,82713 ,85475 ,88238 
E02006909,200000 ,240000 ,305000 
E02002496,56000 ,95000 ,117500 
E02002497,32000 ,32000 ,32000 
